id,stop_name
1,Forest Office Road
2,Kusalkar Putala
3,Tower Line
4,Nehrunagar Depot
5,Jagtap Chowk
6,Bhosalevasti Nagar Road
7,Kirkatwadi Phata
8,Dhayari Phata
9,Vadhu Bk
10,Masulkar Colony
11,Bedekar Ganpati Mandir
12,Bhandarkar Road
13,Budhrani Hospital
14,Kulkarni Petrol Pump
15,Maruti Mandir Vajewadi
16,Fatima Nagar Wanowrie
17,Trimurti Hall
18,Sandesh Model Colony
19,D2 Circle
20,Sharwari Complex
21,Jyoti English School
22,Kedarinagar
23,Shaniwarwada
24,Chaudharivasti Nagar Road
25,Durvankur Bungalow
26,Pradhikaran Police Chowky
27,Gavkos Maruti
28,Kemsewadi Shala
29,Tulsi Chemicals
30,Yerawada
31,Dattawadi Kasarsai
32,Chintamani Society
33,Sindhunagar
34,Nashik Phata
35,Pimpavali Phata
36,Ghavtenagar
37,Raviraj Residency
38,Kumbare Park
39,Vaiduwadi
40,Autadewadi Phata
41,Mangdewadi Petrol Pump
42,Vitbhatti Charholi
43,Rautnagar
44,CIRT
45,Ghotawade Road Petrol Pump
46,Bahiratwadi
47,Divegaon
48,Loni Station
49,Talab Company
50,Tangde Bandhumala
51,MM School
52,Shindenagar Mharunji
53,Agam Mandir
54,Annadhanya Godam
55,Samarth Vidyalay
56,Devi Indrayani Society
57,Homegaurd
58,Someshwarwadi
59,Pirangut
60,Poultry Farm Agalambe
61,Gaymukh
62,Spicer India Company
63,Dattawadi
64,Trinity College
65,Shitolemala
66,Manoharnagar
67,PL Deshpande Udyan
68,Kalamkarvasti
69,Akole Bus Stop
70,Ambegaon Pathar Corner
71,Krushi Utpanna Bazar Samiti
72,Pooja Hospital
73,Sangvi
74,Pravin Mehendi
75,Rajmudra Society
76,Ganesh Park
77,Gokhalenagar Shala
78,Landewadi
79,Landgemala
80,Methodist Church
81,Matalwadi Khanapur
82,Karachi Chowk
83,Holkar Pul Corner
84,Kharadi Bypass
85,Mile Dagad Kramank 23 Nagar Road
86,NIBM Road
87,Hinjawadi Petrol Pump
88,Ambegaon Phata Lavasa Road
89,Kiwalegaon
90,Tapkirnagar Rahatni
91,Poultry Farm Anisha
92,Model Colony
93,Inam Aali
94,Mangdenagar
95,Shiwarkar Garden
96,Power House Fursungi
97,Shindevasti Burkegaon
98,Indraprabha
99,Dnyaneshwar Society
100,Sai Palace
101,Vadacha Stop
102,Shiroli
103,Daulat Garden
104,Bhagvatinagar
105,Osade Phata
106,Rajaram Pul Corner
107,Handewadigaon
108,Sambhaji Chowk
109,HRA Reliance
110,Bhosalevasti Uruli Kanchan
111,Gujarwadi
112,Sadhana Vidyalay
113,Nehrunagar Corner
114,Khadakwasla Dharan Stores
115,Mhalunge Phata Chakan
116,Bhandari Company
117,Dandekar Pul
118,CNG Pump Corner
119,Lakshminagar Corner
120,Yadavvasti Prayagdham
121,Bankarvasti
122,Anand Ashram
123,Anand Nagar Sinhagad Road
124,Donajegaon Phata
125,BU Bhandari Showroom
126,Munjabavasti
127,Mohammadwadigaon
128,Mohammadwadi Shala
129,Khed Shivapur
130,Mangdewadi Phata
131,Wireless Office
132,Kalyani Forge
133,Toll Naka
